Creature Name(NOTE: Must be same as enum)	Health	Damage	Speed	Price	InkCome	DropInk	
Stickfigure	50	10	1	5	1	2	
StickSkeleton	200	25	1	20	5	10	
MushroomMan	350	40	1.5	50	15	30	
StickGhost	600	50	1.5	100	30	50	
Orc	1400	100	0.8	300	75	150	
StickChimera	2000	85	1	450	125	145	
BatteringRam	1800	300	1.2	650	150	250	
Troll	4000	200	0.8	1400	300	600	
GiantFrog	7500	2500	2	2200	800	1200	
GiantHawk	12000	4500	3	5000	1500	2500	
MudGolem	25000	8000	1.5	8000	2500	4000	
RockGolem	40000	12000	2	12000	4000	7500	
Owlbear	75000	25000	2.5	25000	10000	15000	
Mimic	120000	45000	2.5	50000	25000	35000	
Treant	250000	80000	2.5	120000	55000	70000	
Banshee	500000	150000	3	300000	100000	100000	
Cerberus	1000000	400000	3	600000	350000	250000	
Griffon	10000000	800000	3	1000000	1	1	
Beholder	20000000	1	1	1000000	1	1	
